英语|葡萄牙语|俄语|Français
Blocked failed|Falha ao bloquear|Блокировать не удалось|Blocage échoué
Blocked|Bloqueou|Блокировали|Bloqué
Gift not ready. Please try later.|O presente não está pronto. Por favor tente mais tarde.|Подарок не подготовлен, попробуйте позднее.|Le cadeau n\'est pas prêt. Veuillez réessayer plus tard.
Name, ID|Nome, ID|Имя, ID|Nom, ID
Live Notification|Notificação de transmissão|Уведомления стримов|Notification en direct
Blocked Accounts|As contas bloquedas|Заблокированные аккаунты|Comptes bloqués
Block|Bloquear|Блокировать  |Bloquer
Unblock|Desbloquear|Разблокировать|Débloquer
Terms of Service|Termos de serviço|Солашения о сервисе|Conditions de service
Privacy Policy|Política de Privacidade|Конфиденциальность|Politique de confidentialité
Feedback|Comentário|Отзывы|Commentaires
Version|versão|Версия|Version
Log Out|sair|Выход|Déconnexion
Kitty Live Feedback（%s）|Comentários de Kitty Live (% s)|Kitty Live Отзывы（%s）|Commentaires Kitty Live ( %s )
Avatar|Avatar|Фото профиля|Avatar
Name|Nome|Имя |Nom
Description|Descrição|Описание|Description
Gender|Gênero|Пол|Sexe
Male|Masculino|Мужской|Homme
Female|Feminino|Женская|Femme
Unknown|Desconhecido|Неопределенной|Non précisé
Choose a photo|Escolha uma foto|Выберите фотографию|Choisir une photo
Take a photo|Tire uma foto|Сделать снимок|Prendre une photo
Home|Casa|Дом|Accueil
NOTICE: %1$s|AVISO:% 1 $ s|Сообщение: %1$s|AVERTISSEMENT : %1$s
%1$s followed the VJ|% 1 $ s seguiu o VJ|%1$s подписал к  VJ|Le VJ est suivi par %1$s 
%1$s joined|% 1 $ s juntou|%1$s учавствовал|%1$s s\'est inscrit(e)
%1$s is blocked|% 1 $ s está bloqueado|%1$s блокирован|%1$s est bloqué(e)
The VJ left temporarily.|O VJ partiu temporariamente.|VJ вышел временно.|Le VJ a quitté momentanément.
The VJ is back.|O VJ está de volta.|VJ вернулся.|Le VJ est de retour.
%1$s shared the broadcast on @|% 1 $ s compartilhou a transmissão em @|%1$s поделил стрим на @|%1$s a partagé la diffusion sur @
Preparing...|Preparando...|Подготовливается...|Préparation…
Broadcast failed. Please try again.|A transmissão falhou. Por favor, tente novamente.|Стримить не удалось, попробуйте ещё раз.|La diffusion a échoué. Veuillez réessayer.
%1$s%2$s%3$s I\'m #OnAir, so come and watch me LIVE on #KittyLive|% 1 $ s% 2 $ s% 3 $ s Eu eatou # No ar, então venha e me veja Transmissão em #KittyLive|%1$s%2$s%3$s Приходите и посмотрите меня на #KittyLive|%1$s%2$s%3$s Je suis #OnAir, alors viens et regarde-moi en LIVE sur #KittyLive
Awesome #livestream on %1$s #KittyLive %2$s!#OpenYourEyes and see %3$s.|fantástica # transmissão ao vivo em% 1 $ s #KittyLive% 2 $ s! # Abra seus olhos e veja% 3 $ s.|Прикольные #Лайвстримы на %1$s #KittyLive %2$s!#Обращаете внимание и смотрите %3$s.|Super #livestream sur %1$s #KittyLive %2$s!#OuvreTesYeux et regarde %3$s.
Awesome #Replay on %1$s #KittyLive %2$s!#OpenYourEyes and see %3$s.|fantástica # repetição em% 1 $ s #KittyLive% 2 $ s! # Abra seus olhos e veja% 3 $ s.|Прикольные #Реплей на %1$s #KittyLive %2$s!#Обращаете внимание и смотрите %3$s.|Super #Replay sur %1$s #KittyLive %2$s!#OuvreTesYeux et regarde %3$s.
Log in with Twitter|Login com Twitter|Войти с Twitter|Connexion avec Twitter
Network timeout|tempo esgotado da rede|Сеть просрочена|Réseau indisponible
Level|Nível|Степень|Niveau
My Exp|A minha Exp|Мой опыт|Mes Exp
Exp to next level|Exp para próximo nível|Опыт до следующей степени|Exp vers le prochain niveau
How to raise your level|Como aumentar o seu nível|Как повышать вашу степень?|Comment augmenter votre niveau
My Rewards|Os meus prêmios|Мои награды|Mes Récompenses
SEND|Enviar|ОТПРАВИТЬ|ENVOYER
Buy More|Compre mais|Покупайте больше|Acheter plus
Contributions|Contribuições|Вклады|Contributions
If you have any questions please contact us: \t|Se você tiver alguma dúvida entre em contato conosco: \ t|Если у вас появились какие-нибудь вопросы, свяжитесь с нами: \t |Pour toutes questions, n\'hésitez pas à nous contacter : \t
Kitty Live Top Up (%s)|Recarrega de Kitty Live (%s)|Kitty Live Пополнить (%s)|Recharge Kitty Live (%s)
Balance|equilíbrio|Баланс|Solde
Bouns|bonificação|Бонус|Bouns
100% First Recharge Bonus|100%  Primeiro bonificação recarrega|100% Бонус первого вложения средств|Bonus de 100 % sur première recharge
This is only for the first time recharge.|Este é só para a primeira vez de recarga.|Только для первого вложения средств|Valable uniquement sur la première recharge.
Exchange|troca|Обмен|Échanger
Kitty Live Exchange (%s)|troca de Kitty Live (% s)|Обмен Kitty Live|Échanges Kitty Live (%s)
Insufficient moon\nYou don\'t have enough moon to buy this.|Lua insuficiente \ Você não tem lua suficiente para comprar isto.|Недостаточные луны\nУ вас не достаточные луны чтобы купить это.|Moon insuffisant\Vous n\'avez pas assez de Moon pour cet achat.
This will costs you %s moon. Sure to exchange?|Isso vai custar-lhe% s lua. Certifique-se de trocar?|Это потратит %s луны. Уверены обменить?|Ceci vous coûtera %s Moon. Voulez-vous échanger ?
DONE|FEITO|Выполнено|EXÉCUTÉ
Your broadcast has been stopped by administrator.|A sua transmissão foi interrompida pelo o administrador.|Ваш стрим остановился администратором.|Votre diffusion a été interrompue par l\'administrateur.
Total|Total|Тотальный|Total
Saved|salvou|Сохранено|Enregistré
Save failed|falhou ao salvar|Сохранение не удалось|Enregistrement échoué
Discard changes and quit?|descartar as alterações e sair?|Отменить изменения и бросать|Abandonner les modifications et quitter ?
You can only add one sticker.|Você pode adicionar só um rótulo.|Вы сможете добавить только один стикер.|Vous ne pouvez ajouter qu\'un seul autocollant.
Done|Feito|Выполнено|Exécuté
Share with friends|Compartilhe com amigos|Поделиться с друзьями|Partager avec des amis
Instagram|Instagram|Instagram|Instagram
Share|Compartihar|Поделиться  |Partager
Log in with Instagram|Login com Instagram|Войти с Instagram|Connexion avec Instagram
Forgot Password?|Esqueceu a senha?|Забыли пароль?|Mot de passe oublié ?
Forgot Password|Esqueceu a senha|Забыли пароль |Mot de passe oublié
We’ll send you a code to confirm this account is yours.|Enviaremos um código para confirmar que esta é a  sua conta.|Мы вышлём вам код для подтверждения вашего личности.|Nous allons vous envoyer un code pour confirmer que ce compte vous appartient.
CONTINUE|CONTINUAR|ПРОДОЛЖАТЬ|CONTINUER
Change Password|Mudar a senha|Изменить пароль|Modifier le mot de passe
Old password|Antiga senha |Старый пароль|Ancien mot de passe
New password|Nova senha|Новый пароль|Nouveau mot de passe
Confirm|Confirmar|Подтверждать|Confirmer
Enter your new password|Digite a sua nova senha|Введите новый пароль|Saisir le nouveau mot de passe
Please enter the correct Email|Digite o e-mail correto|Введите правильный Email|Veuillez saisir une adresse e-mail valide
Invalid phone number|Número de celular inválido|Недействительный номер телефона|Numéro de téléphone invalide
The password should be from 6 to 22 characters|A senha deve ter de 6 a 22 caracteres|Пароль должна содержать 6 до 22 символа|Le mot de passe doit contenir 6 à 22 caractères
Passwords do not match|As senhas não correspondem|Пароля не совпадают|Les mots de passe ne correspondent pas
Incorrect old password|Antiga senha incorreta|Неправильный старый пароль|Ancien mot de passe erroné
Password change failed|Falha na alteração da senha|Неудалось изменить пароль|Modification du mot de passe échouée
Each bullet message will costs %d rubies|Cada mensagem de bala vai custar %d rubis|Каждое пуля сообщение взимается %d рубины|Chaque message Bullet coûte %d Rubis
Recommended VJ|VJ recomendado |Рекомендующие VJ|VJ recommandé
Amazing content will notify you at the first time|O conteúdo incrível irá notificá-lo na primeira vez|Уведомляют вам о прикольных содержаниях в первую очередь|Meilleur contenu notifié la première fois
Online|Online|Онлайн|En ligne
Watching|Assistindo|Смотреть|En visionnage
%1$dexp/%2$dtimes|%1$d exp /%2d vezes|%1$dопыт/%2$dраз|%1$dexp/%2$dtimes
Send Gifts|Enviar presentes|Отправить подарки|Envoyer des cadeaux
Interactive|Interativo|Взаимодействующие|Interactions
Effective in counting : online 3 hours / day, watching 30 times / day, share 5 times / day, interactive 10 times / day,  sending gift in unlimited number|Eficaz na contagem: online 3 horas / dia, assistindo 30 vezes / dia, compartilhe 5 vezes / dia, interativo 10 vezes / dia, enviando dom em número ilimitado|Эффективность в подсчёт: онлайн 3 ч/д, смотреть 30 раз/д, поделиться 5 раз/д, взаимодействовать 10 раз/д, отправить подарки-неограничено|Comptage efficace : en ligne 3 heures / jour, visionné 30 fois / jour, partagé 5 fois / jour, interactions 10 fois / jour,  envoi de cadeaux en nombre illimité
Exclusive Icon|Ícone exclusivo|Исключительный орден|Icône exclusive
Top Ranking|Topo ranking|Топ рейтинг|Meilleur classement
Special Efficacy|Eficácia Especial|Специальные Эффективность|Très efficace
Sure to delete?|Certifique-se de excluir?|Уверены удалить|Supprimer ?
Delete Replay|Excluir Repetição|Удалить реплей|Supprimer le replay
Delete|Excluir |Удалить|Supprimer
Replay deleted successfully|Repetição excluída com sucesso|Реплей удален|Replay supprimé avec succès
Failed to delete|Falha ao excluir|Не удалось удалить|Suppression échouée
No Replays|Nenhum repetições|Нет реплеев|Pas de replays
Replays|repetições|Реплей  |Replays
Profile|Perfil|Профиль|Profil
Select All|Selecionar tudo|Выбрать всё|Tout sélectionner
Edit|Editar|Редактировать|Modifier le mot de passe
Autosave Replays|salvamento automático repetições|Автосохранение Реплеев|Enregistrer automatiquement les replays
Replays less than 5 mins will not be saved|As repetições com menos de 5 minutos não serão salvas|Реплей меньше 5 мин не будет сохраняться|Les replays de moins de 5 min ne seront pas enregistrés
Task|Tarefa|Задачи|Tâche
Basic Task|Tarefa básica|Основные задачи|Tâche de base
Daily Task|Tarefa diária|Ежедневные задачи|Tâche quotidienne
Binding Failed|Falha na ligação|Привязка не удалась|Liaison échouée
Completed in basic task can get 10 Rubies|Completar na tarefa básica pode obter 10 Rubies|Выполнение основной задачи получит 10 рубинов|Jusqu'à 10 Rubis sont attribués si accompli dans une tâche de base
Receive 10 Rubies|Receba 10 Rubis|Получить 10 рубинов|Recevez 10 Rubis
Remark : Completing in the same task can only receive prize 1 time.|Observação: Completando na mesma tarefa só pode receber prêmio 1 vez.|Примечание: Завершение той же задаче можно получить приз только 1 раз.|Remarque : le prix n\'est attribué qu'une seule fois si accompli dans la même tâche
Congratulations, receive successfully!|Parabéns, receba com sucesso!|Поздравляю, успешо получили!|Félicitations, réception réussie !
Millions of Rubies for free|Milhões de Rubis grátis|Миллион рубинов бесплатны|Des millions de Rubis gratuits
Complete the task, then you can get 10 Rubies. You can participate in the Page Me - Task.|Complete a tarefa, então você pode obter 10 Rubies. Você pode participar da Página Me - Tarefa.|Завершая задачу, вы получите 10 рубинов. Вы можете учавствовать в задачу PageMe.|Accomplissez la tâche et recevez jusqu\'à 10 Rubis. Vous pouvez participer sur la page Moi - Tâches.
Get it now|Obtê-lo agora|Получи сейчас|Obtenir maintenant
Broadcast stopped by Kitty \n Live Administrator|Transmissão interrompida por Administrador de Kitty \ n Live |Стрим остановился администратором Kitty \n Live|Diffusion interrompue par l\'administrateur \n Kitty Live
Don’t cross the line|Não atravesse a linha|Не пересекать линию|Ne franchissez pas la ligne
Nudity or sexual \n content|conteúdo de nudez ou sexo\ n|Нагота или сексуальное \n содержание|Nudité ou contenu à \n caractère sexuel
Violent or graphic \n content|Conteúdo violento ou gráfico \ n|Содержание о насилии|Texte ou image à \n caractère violent
Harmful or dangerous \n content|Conteúdo nocivo ou perigoso \ n|Вредные или опасные \n содержания|Contenu malveillant ou \n menaçant
Other hateful \n content|Outro conteúdo agressivo \ n|Другие вредные \n содержания|Autres contenus \n agressifs
Follow vj then you just subscribe the vj\'s live streaming directly!|Segue vj então você inscreve a transmissão de vj \ diretamente!|Подпишись к vj и ты прямо подписан к его лайвстриминг|Suivez le VJ pour accéder directement à son livestreaming !
Send gifts to help upgrade fastest!|Envie presentes para ajudar a atualizar mais rápido!|Отправить подарки и уровень повышается быстрее.|Envoyez des cadeaux pour changer plus vite de niveau !
Share to enhance the EXP, upgrade much more fast!|Compartilhar para melhorar a EXP, atualizar muito mais rápido!|Поделиться чтобы увеличивать Опыт, повышать уровень гораздо быстрее! |Partagez pour améliorer les EXP, changez de niveau encore plus vite !
Share the best moments of your livestreaming.|Compartilhe os melhores momentos de sua transmissão ao vivo.|Поделитесь лучщие моменты вашего лайвстриминга.|Partagez les meilleurs moments de votre livestreaming.
Swipe left or right to change room|Deslize para a esquerda ou direita para mudar de quarto|Смахните налево или направо чтобы переключить комнату|Balayez à gauche ou à droite pour changer de salon
I\'m livestreaming on #KittyLive, share the best moments, invite you to participate!|Estou vivendo em #KittyLive, compartilhando os melhores momentos, convidando você para participar!|Я стримлю на #KittyLive, поделюсь лучшими моментами, приглашаю вас учавствовать! |Je fais du livestreaming sur #KittyLive, viens partager les meilleurs moments, je t\'invite à participer !
Screenshots have been saved to album successfully|As capturas de tela foram salvas no álbum com sucesso|Симок экрана сохранен в альбом.|Les captures d\'écran ont été enregistrées dans l\'album avec succès
The number and password you entered don't match.|O número e a senha que você digitou não correspondem.|Цифры и пароль вы ввели не совпадают.|Le numéro et le mot de passe saisis ne correspondent pas.
sent a|Enviar um|Отправить один|envoyer
Go|IR|Пошли|Go
Collect|coletar|Собрать|Collecter
Refresh|refrescar|Обновлять|Actualiser
|||
Kitty Live|Kitty Live|Kitty Live|Kitty Live
Manager|Gerente|Управление|Gestionnaire
Loading...|Carregando...|Загружается...|Chargement…
There was an error. Please try again.|Havia um erro. Por favor, tente novamente.|Ошибка. Попробуйте ещё раз.|Une erreur est survenue. Veuillez réessayer.
Yesterday|Ontem|Вчера|Hier
Sunday|Domingo|Воскресенье|Dimanche
Monday|Segunda-feira|Понедельник|Lundi
Tuesday|terça-feira|Вторник|Mardi
Wednesday|quarta-feira|Среда|Mercredi
Thursday|quinta-feira|Четверк|Jeudi
Friday|Sexta-feira|Пятница|Vendredi
Saturday|sabado|Суббота|Samedi
Error|erro|Ошибка |Erreur
Sent|enviar|Отправлено|Envoyé
You are not allowed to chat since you have been blocked.|Você não tem permissão para conversar porque você foi bloqueado.|Вас не допускают чат из-за того что вас блокируют|Vous n\'êtes pas autorisé(e) à chatter car vous avez été bloqué(e).
Permissions Required|Permissões Necessárias|Разрешение требуется|Autorisations requises
Your account is disabled.|A sua conta está desativada.|Ваш аккаунт заблокирован.|Votre compte est désactivé.
Verification code has been sent. Please check it.|O código de verificação foi enviado. Por favor, verifique-lo.|Код для подтверждения отправлен. Проверьте пожалуйста.|Un code de vérification a été envoyé. Veuillez vérifier.
Verification failed. Please check and try again.|Falha na verificação. Por favor verifique e tente novamente.|Ошибка с подтверждением. Проверьте и попробуйте ещё раз.|Vérification échouée. Veuillez vérifier et réessayez.
Illegal password|Senha ilegal|Нелегальный пароль|Mot de passe interdit
Registration failed|Registração fracassada|Регистрация не удалось|Inscription échouée
Verification code expired. Please get again.|O código de verificação já expirou. Por favor, tente novamente.|Код для подтверждения просрочен. Получайте ещё раз.|Code de vérification expiré. Veuillez en demander un autre.
Login failed|falha no login|Вход не удалось|Connexion échouée
User doesn\'t exist|O usuário não existe|Пользователь не сущесствует|L\'utilisateur n\'existe pas
Processing...|Processando ...|В процессе...|Traitement en cours…
Press again to quit|prensar novamente para sair|Нажмите ещё раз и бросать|Appuyez à nouveau pour quitter
Retry|Tentar novamente|Попробовать ещё раз|Réessayer
REPLAY|REPETIR|РЕПЛЕЙ|REPLAY
Follow failed|Falha ao seguir|Подписаться не удалось|Abonnement échoué
Flip Camera|Câmera sacudida|Перевернуть камеру|Tourner la caméra
Mute|mudo|без звука|Muet
Flashlight|lanterna|Вспышка|Torche
Facebook|Facebook|Facebook|Facebook
Twitter|Twitter|Twitter|Twitter
You are broadcasting. Are you sure to left current room and go to another room?|Você está transmitindo. Tem certeza de que sair o quarto atual e ir para outro quarto?|Вы в стриме. Вы уверены выйти и перейти в другую комнату?|Votre diffusion est en cours. Voulez-vous vraiment quitter ce salon et en rejoindre un autre ?
Please check your keyword|Verifique a sua palavra chave|Проверьте ваш пароль|Veuillez vérifier votre mot clé
Sent a %1$s|Enviar um% 1 $ s|Отправить один %1$s|Envoyé un %1$s
No messages|Nenhuma mensagens|Нет сообщений|Pas de messages
Ignore Unread|Ignorar não lido|Игнорировать непрочитанные|Ignorés Non lus
New version available|Nova versão disponível|Новая версия готова|Nouvelle version disponible
Please tap to upgrade|Toque para atualizar|Нажмите для обновления|Appuyez pour mettre à niveau
%1$d selected|%1$d selecionado|%1$d выбран|%1$d sélectionné
Do not disturb|Não perturbe|Не беспокоить|Ne pas déranger
Copyright©2016 Kitty Live All Rights Reserved.|direitos autorais © 2016 Kitty Live Todos os Direitos Reservados.|Copyright©2016 Kitty Live Все права защищены.|Copyright©2016 Kitty Live Tous droits réservés.
Seems to forget to write down the signature...|Parece esquecer de escrever a assinatura ...|Похоже вы забыли писать подпись|Il semble que vous ayez oublié de signer…
Change Name|Mudar o nome|Изменить имя|Modifier le nom
\r\n————————————\r\nName: %1$s\r\nID: %2$s\r\nNetwork Type: %3$s\r\nIP: %4$s\r\nDevice Model: %5$s\r\nAndroid Version: %6$s|\r\n------------\r\nNome:%1$s\r\nID:%2$s\r\ Tipo de rede:%3$s\r\nIP:%4$s\r\ Modelo do dispositivo:%5$s\r\n Versão de Android:%6$s|\r\n————————————\r\nИмя: %1$s\r\nID: %2$s\r\nСтиль сети: %3$s\r\nIP: %4$s\r\nМодель устройства: %5$s\r\nAndroid Версия: %6$s|\r\n————————————\r\nNom : %1$s\r\nID : %2$s\r\nType de réseau : %3$s\r\nIP : %4$s\r\nModèle d\'appareil : %5$s\r\nVersion Android : %6$s
No email app associated|Nenhum aplicativo associado de e-mail|Нет связанного приложения E-mail|Pas d\'application de messagerie associée
Kitty Live LogInfo_%1$d|Log Info de Kitty Live_%1$d|Kitty Live ОтчетИнфо_%1$d|Kitty Live LogInfo_%1$d
\r\n————————————\r\nKitty Live Version: %1$s\r\nDevice Model: %2$s\r\nNetwork Type: %3$s\r\nAndroid Version: %4$s|\R\n------------\r\nVersão de Kitty Live:%1$s\r\ Modelo do Dispositivo:%2$s\r\nTipo de Rede:%$s\r\NVersão de Andriod:%4$s|\r\n————————————\r\nKitty Live Версия: %1$s\r\nМодель устройства: %2$s\r\nСтиль сети: %3$s\r\nAndroid Версия: %4$s|\r\n————————————\r\nVersion Kitty Live : %1$s\r\nModèle d\'appareil : %2$s\r\nType de réseau : %3$s\r\nVersion Android : %4$s
E-mail|E-mail|E-mail|E-mal
Avatar upload failed|Falha ao fazer upload o avatar|Аватар загрузить не удалось|Transfert de l\'avatar échoué
Crop photo|Recortar foto|Кадрировать фотографию|Rogner la photo
Messages|Mensagens|Сообщения|Messages
ID：|ID：|ID：|ID :
Kitty Assistant: Congratulations to %1$s reaching Lv.%2$d!|Assistente de Kitty: Parabéns a%1$s alcançando Lv.%2$d!|Kitty Помощник: Поздравляем %1$s reaching Lv.%2$d!|Assistant Kitty : Félicitations %1$s, niveau %2$d atteint !
%1$s shared the broadcast on @ and got %2$s Exp|%1$s compartilhou a transmissão em @ e recebeu %2$s Exp|%1$s поделился стрим в @ и получит %2$s Опыт|%1$s a partagé la diffusion sur @ et a obtenu %2$s Exp
Broadcasting peak time. Can not start a broadcast.|Está o tempo de pico de transmissão. Não é possível iniciar uma transmissão.|период наибольшей нагрузки, не может начинать трансляцию|Serveur encombré. Impossible de lancer une autre diffusion.
Network error|Erro de rede|Ошибка сети|Erreur réseau
Server network error|Erro de serviço de rede|Ошибка с сервиром |Erreur serveur réseau
Network exception|Exceção de rede|Сетевая аномалия|Exception réseau
Tips|Dicas|Подсказки|Conseils
Rubies|Rubies|Рубины|Rubis
\r\n————————————\r\nName: %1$s\r\nID: %2$s\r\nNetwork Type: %3$s\r\nIP: %4$s|\r\n------------\r\nNome:%1$s\r\nID:%2$sr\n Tipo de rede :%3$s\r\nIP:%4$s|\r\n————————————\r\nИмя: %1$s\r\nID: %2$s\r\nСтиль сети: %3$s\r\nIP: %4$s|\r\n————————————\r\nNom : %1$s\r\nID : %2$s\r\nType de réseau : %3$s\r\nIP : %4$s
Sorry, your purchase could not be completed. Please try again later.|Desculpe,a sua compra não pode ser concluída. Por favor, tente novamente mais tarde.|Извините, покупка не может завершаться. Попробуйте позднее.|Désolé, nous n\'avons pas pu traiter votre paiement. Veuillez réessayer plus tard.
Transaction Successful. It may take 1~2 days to come into your account.|Transação com sucesso. Vai levar de 1 a 2 dias para entrar na sua conta.|Трансакция выполнена. Потребуется примерно 1-2 дня чтобы прийти на ваш аккаунт.|Transaction réussie. Comptez 1 à 2 jours pour que les références apparaissent sur votre compte.
Google Wallet|Google Wallet|Google кошелёк|Google Wallet
Connect to Google Play service failed. Please check your connection if your device supports Google Play service.| Falhou a ligação ao serviço de Google Play. Verifique a sua ligação se o seu dispositivo suportar o serviço de Google Play.|Соединение с Google Play сервис прервано. Проверьте ваше соединение если ваше устройство поддерживает Google Play сервис.|La connexion au service Google Play a échoué. Veuillez vérifier votre connexion si le service Google Play est pris en charge par votre téléphone.
MOL Pay|MOL Pay|MOL Pay|MOL Pay
SMS|SMS|SMS|SMS
*True SMS is being suspended. Please use other payment channels.|* Verdadeiro SMS está suspenso. Utilize outros canais de pagamento.|SMS в настоящее время приостановлено. Пожалуйста, используйте другие каналы оплаты.|*Le service True SMS est interrompu. Veuillez utiliser un autre mode de paiement.
LINE Pay|LINE Pay|LINE Pay|LINE Pay
PayPal|PayPal|PayPal|PayPal
Bonus|bonificação|Бонус|Bonus
Withdraw|Retirar|Вывод средств|Retrait
FAQ|Perguntas frequentes|Вопросы-Ответы|FAQ
Records|Registros|рекорды|Enregistrements
Failed. Please try again.|Falhou. Por favor, tente novamente.|Ошибка. Попробуйте ещё раз.|Échoué. Veuillez réessayer.
PayPal Cashout|Pagamento PayPal|PayPal вывести деньги|Retrait PayPal
PayPal account(email)|Conta de PayPal (e-mail)|PayPal аккаунт(email)|Compte PayPal (e-mail)
Enter again|Entrar novamente|Введите ещё раз|Accéder à nouveau
